Date,PHEV,BEV,FCEV,eMC,Total
7/1/2014,1723,621,0,ND,2344
9/14/2016,3066,1811,1,ND,4878
9/1/2017,3549,2371,3,ND,5923
9/24/2018,4705,3280,2,ND,7987
12/31/2018,5063,4208,2,16,9289
7/1/2019,5220,5099,2,18,10339
12/31/2019,5480,6172,3,22,11677
7/1/2020,5722,6874,3,25,12624
12/31/2020,5893,7880,3,24,13800
7/1/2021,7321,9861,3,32,17217
12/31/2021,8827,12513,3,34,21377
7/1/2022,10126,15268,6,44,25444
12/31/2022,11615,18509,5,57,30186
7/1/2023,13510,22695,3,61,36269
12/31/2023,16517,27709,3,84,44313
7/1/2024,19211,33386,3,91,52691
